id,item,id,relation,subject
1001,subject,1011,1,101
1002,subject,1012,1,101
1003,subject,1013,1,101
1004,subject,1014,1,101
1005,subject,1015,1,101
1006,subject,1016,1,101
1007,subject,1017,1,101
1008,subject,1018,1,101
1009,subject,10111,1,1011
1010,subject,10112,1,1011
1011,subject,10113,1,1011
1012,subject,10031,1,1012
1013,subject,10032,1,1012
1014,subject,10033,1,1012
1015,subject,10034,1,1012
1016,subject,10035,1,1012
1017,subject,10036,1,1012
1018,subject,10041,1,1013
1019,subject,10042,1,1013
1020,subject,10043,1,1013
1021,subject,10044,1,1013
1022,subject,10051,1,1014
1023,subject,10052,1,1014
1024,subject,10053,1,1014
1025,subject,10054,1,1014
1026,subject,10055,1,1014
1027,subject,10056,1,1014
1028,subject,10057,1,1014
1029,subject,10058,1,1014