id,term_id,lang,term,description,image,pointer,sw_pointer,fw_pointer,reasons_ch,items,importance
101,101,en,Subject,,101,,,,,,
1011,1011,en,Time,,"",,,,,,
1012,1012,en,Space,,1012,,,,,,
1013,1013,en,"People, Groups",,1013,,,,,,
1014,1014,en,"Philosophy, Religion",,1014,,,,,,
1015,1015,en,"Science, Technology",,1015,,,,,,
1016,1016,en,"Art, Design",,1016,,,,,,
1017,1017,en,"Business, Goods",,1017,,,,,,
1018,1018,en,"Entertainment, Games",,1018,,,,,,
10111,10111,en,Present Trends,,10111,,,,,,
10112,10112,en,History of Universe,,10112,,,,,,
10113,10113,en,Periods of Time,,10113,,,,,,
10031,10031,en,Astronomic Map,,10031,,,,,,
10032,10032,en,Terrestrial Map,,10032,,,,,,
10033,10033,en,Anatomic Map,,10033,,,,,,
10034,10034,en,"Histologic, Cytologic Map",,10034,,,,,,
10035,10035,en,DNA Localisation,,10035,,,,,,
10036,10036,en,Sub Macromolecular Localisation,,10036,,,,,,
10041,10041,en,Leaders,,10041,,,,,,
10042,10042,en,Organizations,,10042,,,,,,
10043,10043,en,Governments,,10043,,,,,,
10044,10044,en,Political Parties,,10044,,,,,,
10051,10051,en,Religions,,10051,,,,,,
10052,10052,en,Philosophy of Religions,,10052,,,,,,
10053,10053,en,Epistemology,,10053,,,,,,
10054,10054,en,Logic,,10054,,,,,,
10055,10055,en,Metaphysics,,10055,,,,,,
10056,10056,en,"Ethics, Political",,10056,,,,,,
10057,10057,en,Aestetics,,10057,,,,,,
10058,10058,en,Specialized Branches,,10058,,,,,,